title,actor_1,actor_2,actor_3,director,genres,all_info
bee movie,Matthew Broderick,Oprah Winfrey,Rip Torn,Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
kung fu panda 2,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
the last airbender,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
mission: impossible iii,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
white house down,Channing Tatum,Jake Weber,Matt Craven,Roland Emmerich,Action Drama Thriller,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
mars needs moms,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Simon Wells,Action Adventure Animation Comedy Family Science Fiction,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Science Fiction
flushed away,Hugh Jackman,Kate Winslet,David Suchet,David Bowers,Adventure Animation Comedy Family,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
pan,Hugh Jackman,Cara Delevingne,Nonso Anozie,Joe Wright,Adventure Family Fantasy,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
mr. peabody & sherman,Ty Burrell,Zach Callison,Karan Brar,Rob Minkoff,Adventure Animation Comedy Family Science Fiction,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Science Fiction
troy,Brad Pitt,Orlando Bloom,Julian Glover,Wolfgang Petersen,Adventure,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
madagascar 3: europe's most wanted,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
die another day,Toby Stephens,Colin Salmon,Rick Yune,Lee Tamahori,Action Adventure Thriller,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
ghostbusters,Ed Begley Jr.,Kate McKinnon,Zach Woods,Paul Feig,Action Comedy Fantasy Science Fiction,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Science Fiction
armageddon,Bruce Willis,Steve Buscemi,Will Patton,Michael Bay,Action Adventure Science Fiction Thriller,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Science Fiction Thriller
men in black ii,Will Smith,Rosario Dawson,Rip Torn,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Science Fiction,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Science Fiction
beowulf,Robin Wright,Anthony Hopkins,Sebastian Roché,Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
kung fu panda 3,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
mission: impossible - ghost protocol,Tom Cruise,Jeremy Renner,Michael Nyqvist,Brad Bird,Action Adventure Thriller,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
rise of the guardians,Hugh Jackman,Kamil McFadden,Khamani Griffin,Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
fun with dick and jane,John Michael Higgins,Richard Burgi,David Herman,Dean Parisot,Comedy Crime,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
the last samurai,Tom Cruise,Tony Goldwyn,Chad Lindberg,Edward Zwick,Action Drama History War,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
exodus: gods and kings,Christian Bale,María Valverde,Ben Mendelsohn,Ridley Scott,Action Adventure Drama,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
star trek,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,J.J. Abrams,Action Adventure Science Fiction,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Science Fiction
spider-man,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
how to train your dragon 2,Gerard Butler,Djimon Hounsou,America Ferrera,Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
gods of egypt,Gerard Butler,Elodie Yung,Bryan Brown,Alex Proyas,Action Adventure Fantasy,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
stealth,Sam Shepard,Joe Morton,Richard Roxburgh,Rob Cohen,Action Adventure Science Fiction Thriller,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Science Fiction Thriller
watchmen,Matt Frewer,Billy Crudup,Stephen McHattie,Zack Snyder,Action Drama Mystery Science Fiction,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Science Fiction
lethal weapon 4,Jet Li,Rene Russo,Darlene Love,Richard Donner,Action Crime Thriller,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
hulk,Kevin Rankin,Regi Davis,Celia Weston,Ang Lee,Action Science Fiction,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Science Fiction
g.i. joe: retaliation,Channing Tatum,Dwayne Johnson,Elodie Yung,Jon M. Chu,Action Adventure Science Fiction Thriller,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Science Fiction Thriller
sahara,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Breck Eisner,Action Adventure Comedy Thriller,Matthew McConaughey Rainn Wilson Delroy Lindo Breck Eisner Action Adventure Comedy Thriller
final fantasy: the spirits within,Steve Buscemi,Ming-Na Wen,Jean Simmons,Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Science Fiction,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Science Fiction
captain america: the first avenger,Chris Evans,Dominic Cooper,Hayley Atwell,Joe Johnston,Action Adventure Science Fiction,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Science Fiction
the world is not enough,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Michael Apted,Action Adventure Thriller,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
master and commander: the far side of the world,James D'Arcy,Lee Ingleby,David Threlfall,Peter Weir,Action Adventure Drama History War,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
the twilight saga: breaking dawn - part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
happy feet 2,Robin Williams,Brad Pitt,Common,George Miller,Animation Comedy Family Musical,Robin Williams Brad Pitt Common George Miller Animation Comedy Family Musical
the incredible hulk,Ty Burrell,Peter Mensah,William Hurt,Louis Leterrier,Action Adventure Science Fiction,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Science Fiction
miami vice,Don Johnson,Philip Michael Thomas,John Diehl,unknown,Action Crime Drama Mystery Thriller,Don Johnson Philip Michael Thomas John Diehl unknown Action Crime Drama Mystery Thriller
the bfg,Mark Rylance,Penelope Wilton,Rafe Spall,Steven Spielberg,Adventure Family Fantasy,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family Fantasy
the revenant,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu Adventure Drama Thriller Western
turbo,Ryan Reynolds,Snoop Dogg,Ben Schwartz,David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family Sport
rango,Johnny Depp,Ray Winstone,Stephen Root,Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family Western
penguins of madagascar,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell Adventure Animation Comedy Family
the bourne ultimatum,Matt Damon,Edgar Ramírez,Albert Finney,Paul Greengrass,Action Mystery Thriller,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery Thriller
kung fu panda,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne Action Adventure Animation Comedy Family
ant-man,Judy Greer,Hayley Atwell,T.I.,Peyton Reed,Action Adventure Comedy Science Fiction,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Science Fiction
the hunger games: catching fire,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Francis Lawrence,Adventure Science Fiction Thriller,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Science Fiction Thriller
home,Jim Parsons,Matt Jones,April Winchell,Tim Johnson,Adventure Animation Comedy Family Fantasy Science Fiction,Jim Parsons Matt Jones April Winchell Tim Johnson Adventure Animation Comedy Family Fantasy Science Fiction
war of the worlds,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Steven Spielberg,Adventure Science Fiction Thriller,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Science Fiction Thriller
bad boys ii,Will Smith,Henry Rollins,Jordi Mollà,Michael Bay,Action Comedy Crime Thriller,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime Thriller
puss in boots,Salma Hayek,Constance Marie,Amy Sedaris,Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family Fantasy
salt,Angelina Jolie Pitt,Andre Braugher,August Diehl,Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
noah,Anthony Hopkins,Emma Watson,Logan Lerman,Darren Aronofsky,Action Adventure Drama,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure Drama
the adventures of tintin,Toby Jones,Mackenzie Crook,Tony Curran,Steven Spielberg,Action Adventure Family Mystery,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family Mystery
harry potter and the prisoner of azkaban,Daniel Radcliffe,Gary Oldman,Rupert Grint,Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy Mystery
australia,Essie Davis,Bryan Brown,Eddie Baroo,Baz Luhrmann,Adventure Drama Romance War,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann Adventure Drama Romance War
after earth,Will Smith,Zoë Kravitz,Glenn Morshower,M. Night Shyamalan,Action Adventure Science Fiction,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Science Fiction
dinosaur,Alfre Woodard,D.B. Sweeney,Della Reese,Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
harry potter and the deathly hallows: part ii,Rupert Grint,Dave Legeno,Ralph Ineson,Matt Birch,Action Fantasy,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action Fantasy
night at the museum: secret of the tomb,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
megamind,J.K. Simmons,Brad Pitt,Will Ferrell,Tom McGrath,Action Animation Comedy Family Science Fiction,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Science Fiction
harry potter and the sorcerer's stone,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family Fantasy
r.i.p.d.,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy Fantasy
pirates of the caribbean: the curse of the black pearl,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
harry potter and the deathly hallows: part i,Rupert Grint,Toby Jones,Alfred Enoch,Matt Birch,Fantasy,Rupert Grint Toby Jones Alfred Enoch Matt Birch Fantasy
the hunger games: mockingjay - part 1,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure Science Fiction Thriller,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Science Fiction Thriller
the da vinci code,Tom Hanks,Seth Gabel,Jürgen Prochnow,Ron Howard,Mystery Thriller,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery Thriller
rio 2,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family Musical
x-men 2,Hugh Jackman,Bruce Davison,Aaron Stanford,Bryan Singer,Action Adventure Fantasy Science Fiction Thriller,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Science Fiction Thriller
fast five,Paul Walker,Vin Diesel,Dwayne Johnson,Justin Lin,Action Crime Thriller,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
sherlock holmes: a game of shadows,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
clash of the titans,Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,Action Adventure Fantasy,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action Adventure Fantasy
total recall,Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,Action Science Fiction,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Science Fiction
the 13th warrior,Tony Curran,Vladimir Kulich,Clive Russell,John McTiernan,Action Adventure History,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
the bourne legacy,Jeremy Renner,Scott Glenn,Stacy Keach,Tony Gilroy,Action Adventure Thriller,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
batman & robin,Michael Gough,Vivica A. Fox,John Glover,Joel Schumacher,Action,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action
how the grinch stole christmas,Clint Howard,T.J. Thyne,Molly Shannon,Ron Howard,Comedy Family Fantasy,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family Fantasy
the day after tomorrow,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Roland Emmerich,Action Adventure Science Fiction Thriller,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Science Fiction Thriller
mission: impossible ii,Tom Cruise,Dougray Scott,Richard Roxburgh,John Woo,Action Adventure Thriller,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
the perfect storm,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
fantastic 4: rise of the silver surfer,Chris Evans,Ioan Gruffudd,Andre Braugher,Tim Story,Action Adventure Science Fiction Thriller,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Science Fiction Thriller
life of pi,Suraj Sharma,Rafe Spall,Tabu,Ang Lee,Adventure Drama Fantasy,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama Fantasy
ghost rider,Nicolas Cage,Matt Long,Peter Fonda,Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
jason bourne,Matt Damon,Riz Ahmed,Ato Essandoh,Paul Greengrass,Action Thriller,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
charlie's angels: full throttle,Demi Moore,Bernie Mac,Justin Theroux,McG,Action Adventure Comedy Crime,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy Crime
prometheus,Michael Fassbender,Charlize Theron,Sean Harris,Ridley Scott,Adventure Mystery Science Fiction,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure Mystery Science Fiction
stuart little 2,Nathan Lane,Brad Garrett,Melanie Griffith,Rob Minkoff,Adventure Animation Comedy Family Fantasy,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure Animation Comedy Family Fantasy
elysium,Matt Damon,Sharlto Copley,Alice Braga,Neill Blomkamp,Action Drama Science Fiction Thriller,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Science Fiction Thriller
the chronicles of riddick,Vin Diesel,Alexa Davalos,Christina Cox,David Twohy,Action Adventure Science Fiction Thriller,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Science Fiction Thriller
robocop,Gary Oldman,Abbie Cornish,Jennifer Ehle,José Padilha,Action Crime Science Fiction Thriller,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Science Fiction Thriller
